chieff,FI,FA,HI,HA,LI,LA,FI0p5,FA0p5,HI0p5,HA0p5,LI0p5,LA0p5
-0.959,9999999999999991e-20,0,0.00019999999999999982,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.958,9999999999999991e-20,0,0.00019999999999999982,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.957,9999999999999991e-20,0,0.00019999999999999982,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.956,9999999999999991e-20,0,0.00019999999999999982,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.955,9999999999999991e-20,0,0.00019999999999999982,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.954,9999999999999991e-20,0,0.00019999999999999982,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.953,9999999999999991e-20,0,0.00019999999999999982,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.952,9999999999999991e-20,0,0.00019999999999999982,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.951,9999999999999991e-20,0,0.00019999999999999982,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.95,9999999999999991e-20,0,0.0008999999999999992,0,0,0,9999999999999991e-20,0,0.0008999999999999992,0,0,0
-0.949,9999999999999991e-20,0,0.0008999999999999992,0,0,0,9999999999999991e-20,0,0.0008999999999999992,0,0,0
-0.948,9999999999999991e-20,0,0.0008999999999999992,0,0,0,9999999999999991e-20,0,0.0008999999999999992,0,0,0
-0.947,9999999999999991e-20,0,0.0008999999999999992,0,0,0,9999999999999991e-20,0,0.0008999999999999992,0,0,0
-0.946,9999999999999991e-20,0,0.0008999999999999992,0,0,0,9999999999999991e-20,0,0.0008999999999999992,0,0,0
-0.945,9999999999999991e-20,0,0.0008999999999999992,0,0,0,9999999999999991e-20,0,0.0008999999999999992,0,0,0
-0.944,9999999999999991e-20,0,0.0008999999999999992,0,0,0,9999999999999991e-20,0,0.0008999999999999992,0,0,0
-0.943,9999999999999991e-20,0,0.0008999999999999992,0,0,0,9999999999999991e-20,0,0.0008999999999999992,0,0,0
-0.942,9999999999999991e-20,0,0.0008999999999999992,0,0,0,9999999999999991e-20,0,0.0008999999999999992,0,0,0
-0.941,9999999999999991e-20,0,0.0008999999999999992,0,0,0,9999999999999991e-20,0,0.0008999999999999992,0,0,0
-0.94,0.00030000000000000306,0,0.0010000000000000102,0,0,0,0.00020000000000000204,0,0.0008000000000000082,0,0,0
-0.939,0.00030000000000000306,0,0.0010000000000000102,0,0,0,0.00020000000000000204,0,0.0008000000000000082,0,0,0
-0.938,0.00030000000000000306,0,0.0010000000000000102,0,0,0,0.00020000000000000204,0,0.0008000000000000082,0,0,0
-0.937,0.00030000000000000306,0,0.0010000000000000102,0,0,0,0.00020000000000000204,0,0.0008000000000000082,0,0,0
-0.936,0.00030000000000000306,0,0.0010000000000000102,0,0,0,0.00020000000000000204,0,0.0008000000000000082,0,0,0
-0.935,0.00030000000000000306,0,0.0010000000000000102,0,0,0,0.00020000000000000204,0,0.0008000000000000082,0,0,0
-0.934,0.00030000000000000306,0,0.0010000000000000102,0,0,0,0.00020000000000000204,0,0.0008000000000000082,0,0,0
-0.933,0.00030000000000000306,0,0.0010000000000000102,0,0,0,0.00020000000000000204,0,0.0008000000000000082,0,0,0
-0.932,0.00030000000000000306,0,0.0010000000000000102,0,0,0,0.00020000000000000204,0,0.0008000000000000082,0,0,0
-0.931,0.00030000000000000306,0,0.0010000000000000102,0,0,0,0.00020000000000000204,0,0.0008000000000000082,0,0,0
-0.93,0.0006999999999999993,0,0.0011999999999999988,0,0,0,0,0,0.0017999999999999984,0,0,0
-0.929,0.0006999999999999993,0,0.0011999999999999988,0,0,0,0,0,0.0017999999999999984,0,0,0
-0.928,0.0006999999999999993,0,0.0011999999999999988,0,0,0,0,0,0.0017999999999999984,0,0,0
-0.927,0.0006999999999999993,0,0.0011999999999999988,0,0,0,0,0,0.0017999999999999984,0,0,0
-0.926,0.0006999999999999993,0,0.0011999999999999988,0,0,0,0,0,0.0017999999999999984,0,0,0
-0.925,0.0006999999999999993,0,0.0011999999999999988,0,0,0,0,0,0.0017999999999999984,0,0,0
-0.924,0.0006999999999999993,0,0.0011999999999999988,0,0,0,0,0,0.0017999999999999984,0,0,0
-0.923,0.0006999999999999993,0,0.0011999999999999988,0,0,0,0,0,0.0017999999999999984,0,0,0
-0.922,0.0006999999999999993,0,0.0011999999999999988,0,0,0,0,0,0.0017999999999999984,0,0,0
-0.921,0.0006999999999999993,0,0.0011999999999999988,0,0,0,0,0,0.0017999999999999984,0,0,0
-0.92,0.0004999999999999996,0,0.0014999999999999987,0,0,0,0.0004999999999999996,0,0.0019999999999999983,0,0,0
-0.919,0.0004999999999999996,0,0.0014999999999999987,0,0,0,0.0004999999999999996,0,0.0019999999999999983,0,0,0
-0.918,0.0004999999999999996,0,0.0014999999999999987,0,0,0,0.0004999999999999996,0,0.0019999999999999983,0,0,0
-0.917,0.0004999999999999996,0,0.0014999999999999987,0,0,0,0.0004999999999999996,0,0.0019999999999999983,0,0,0
-0.916,0.0004999999999999996,0,0.0014999999999999987,0,0,0,0.0004999999999999996,0,0.0019999999999999983,0,0,0
-0.915,0.0004999999999999996,0,0.0014999999999999987,0,0,0,0.0004999999999999996,0,0.0019999999999999983,0,0,0
-0.914,0.0004999999999999996,0,0.0014999999999999987,0,0,0,0.0004999999999999996,0,0.0019999999999999983,0,0,0
-0.913,0.0004999999999999996,0,0.0014999999999999987,0,0,0,0.0004999999999999996,0,0.0019999999999999983,0,0,0
-0.912,0.0004999999999999996,0,0.0014999999999999987,0,0,0,0.0004999999999999996,0,0.0019999999999999983,0,0,0
-0.911,0.0004999999999999996,0,0.0014999999999999987,0,0,0,0.0004999999999999996,0,0.0019999999999999983,0,0,0
-0.91,0.0005999999999999994,0,0.0026999999999999975,0,0,0,0.001099999999999999,0,0.0033999999999999968,0,0,0
-0.909,0.0005999999999999994,0,0.0026999999999999975,0,0,0,0.001099999999999999,0,0.0033999999999999968,0,0,0
-0.908,0.0005999999999999994,0,0.0026999999999999975,0,0,0,0.001099999999999999,0,0.0033999999999999968,0,0,0
-0.907,0.0005999999999999994,0,0.0026999999999999975,0,0,0,0.001099999999999999,0,0.0033999999999999968,0,0,0
-0.906,0.0005999999999999994,0,0.0026999999999999975,0,0,0,0.001099999999999999,0,0.0033999999999999968,0,0,0
-0.905,0.0005999999999999994,0,0.0026999999999999975,0,0,0,0.001099999999999999,0,0.0033999999999999968,0,0,0
-0.904,0.0005999999999999994,0,0.0026999999999999975,0,0,0,0.001099999999999999,0,0.0033999999999999968,0,0,0
-0.903,0.0005999999999999994,0,0.0026999999999999975,0,0,0,0.001099999999999999,0,0.0033999999999999968,0,0,0
-0.902,0.0005999999999999994,0,0.0026999999999999975,0,0,0,0.001099999999999999,0,0.0033999999999999968,0,0,0
-0.901,0.0005999999999999994,0,0.0026999999999999975,0,0,0,0.001099999999999999,0,0.0033999999999999968,0,0,0
-0.9,0.0009999999999999992,0,0.0027999999999999974,0,0,0,0.001099999999999999,0,0.0038999999999999964,0,0,0
-0.899,0.0009999999999999992,0,0.0027999999999999974,0,0,0,0.001099999999999999,0,0.0038999999999999964,0,0,0
-0.898,0.0009999999999999992,0,0.0027999999999999974,0,0,0,0.001099999999999999,0,0.0038999999999999964,0,0,0
-0.897,0.0009999999999999992,0,0.0027999999999999974,0,0,0,0.001099999999999999,0,0.0038999999999999964,0,0,0
-0.896,0.0009999999999999992,0,0.0027999999999999974,0,0,0,0.001099999999999999,0,0.0038999999999999964,0,0,0
-0.895,0.0009999999999999992,0,0.0027999999999999974,0,0,0,0.001099999999999999,0,0.0038999999999999964,0,0,0
-0.894,0.0009999999999999992,0,0.0027999999999999974,0,0,0,0.001099999999999999,0,0.0038999999999999964,0,0,0
-0.893,0.0009999999999999992,0,0.0027999999999999974,0,0,0,0.001099999999999999,0,0.0038999999999999964,0,0,0
-0.892,0.0009999999999999992,0,0.0027999999999999974,0,0,0,0.001099999999999999,0,0.0038999999999999964,0,0,0
-0.891,0.0009999999999999992,0,0.0027999999999999974,0,0,0,0.001099999999999999,0,0.0038999999999999964,0,0,0
-0.89,0.0007999999999999993,0,0.0029999999999999975,0,0,0,0.0015999999999999986,0,0.004499999999999996,0,0,0
-0.889,0.0007999999999999993,0,0.0029999999999999975,0,0,0,0.0015999999999999986,0,0.004499999999999996,0,0,0
-0.888,0.0007999999999999993,0,0.0029999999999999975,0,0,0,0.0015999999999999986,0,0.004499999999999996,0,0,0
-0.887,0.0007999999999999993,0,0.0029999999999999975,0,0,0,0.0015999999999999986,0,0.004499999999999996,0,0,0
-0.886,0.0007999999999999993,0,0.0029999999999999975,0,0,0,0.0015999999999999986,0,0.004499999999999996,0,0,0
-0.885,0.0007999999999999993,0,0.0029999999999999975,0,0,0,0.0015999999999999986,0,0.004499999999999996,0,0,0
-0.884,0.0007999999999999993,0,0.0029999999999999975,0,0,0,0.0015999999999999986,0,0.004499999999999996,0,0,0
-0.883,0.0007999999999999993,0,0.0029999999999999975,0,0,0,0.0015999999999999986,0,0.004499999999999996,0,0,0
-0.882,0.0007999999999999993,0,0.0029999999999999975,0,0,0,0.0015999999999999986,0,0.004499999999999996,0,0,0
-0.881,0.0007999999999999993,0,0.0029999999999999975,0,0,0,0.0015999999999999986,0,0.004499999999999996,0,0,0
-0.88,0.0017999999999999984,0,0.005199999999999995,0,0,0,0.0019999999999999983,0,0.005699999999999995,0,9999999999999991e-20,0
-0.879,0.0017999999999999984,0,0.005199999999999995,0,0,0,0.0019999999999999983,0,0.005699999999999995,0,9999999999999991e-20,0
-0.878,0.0017999999999999984,0,0.005199999999999995,0,0,0,0.0019999999999999983,0,0.005699999999999995,0,9999999999999991e-20,0
-0.877,0.0017999999999999984,0,0.005199999999999995,0,0,0,0.0019999999999999983,0,0.005699999999999995,0,9999999999999991e-20,0
-0.876,0.0017999999999999984,0,0.005199999999999995,0,0,0,0.0019999999999999983,0,0.005699999999999995,0,9999999999999991e-20,0
-0.875,0.0017999999999999984,0,0.005199999999999995,0,0,0,0.0019999999999999983,0,0.005699999999999995,0,9999999999999991e-20,0
-0.874,0.0017999999999999984,0,0.005199999999999995,0,0,0,0.0019999999999999983,0,0.005699999999999995,0,9999999999999991e-20,0
-0.873,0.0017999999999999984,0,0.005199999999999995,0,0,0,0.0019999999999999983,0,0.005699999999999995,0,9999999999999991e-20,0
-0.872,0.0017999999999999984,0,0.005199999999999995,0,0,0,0.0019999999999999983,0,0.005699999999999995,0,9999999999999991e-20,0
-0.871,0.0017999999999999984,0,0.005199999999999995,0,0,0,0.0019999999999999983,0,0.005699999999999995,0,9999999999999991e-20,0
-0.87,0.0019999999999999983,0,0.007299999999999993,0,0,0,0.0025999999999999977,0,0.007399999999999993,0,0,0
-0.869,0.0019999999999999983,0,0.007299999999999993,0,0,0,0.0025999999999999977,0,0.007399999999999993,0,0,0
-0.868,0.0019999999999999983,0,0.007299999999999993,0,0,0,0.0025999999999999977,0,0.007399999999999993,0,0,0
-0.867,0.0019999999999999983,0,0.007299999999999993,0,0,0,0.0025999999999999977,0,0.007399999999999993,0,0,0
-0.866,0.0019999999999999983,0,0.007299999999999993,0,0,0,0.0025999999999999977,0,0.007399999999999993,0,0,0
-0.865,0.0019999999999999983,0,0.007299999999999993,0,0,0,0.0025999999999999977,0,0.007399999999999993,0,0,0
-0.864,0.0019999999999999983,0,0.007299999999999993,0,0,0,0.0025999999999999977,0,0.007399999999999993,0,0,0
-0.863,0.0019999999999999983,0,0.007299999999999993,0,0,0,0.0025999999999999977,0,0.007399999999999993,0,0,0
-0.862,0.0019999999999999983,0,0.007299999999999993,0,0,0,0.0025999999999999977,0,0.007399999999999993,0,0,0
-0.861,0.0019999999999999983,0,0.007299999999999993,0,0,0,0.0025999999999999977,0,0.007399999999999993,0,0,0
-0.86,0.0017999999999999984,0,0.007199999999999994,0,0,0,0.003599999999999997,0,0.009699999999999992,0,0.0002999999999999997,0
-0.859,0.0017999999999999984,0,0.007199999999999994,0,0,0,0.003599999999999997,0,0.009699999999999992,0,0.0002999999999999997,0
-0.858,0.0017999999999999984,0,0.007199999999999994,0,0,0,0.003599999999999997,0,0.009699999999999992,0,0.0002999999999999997,0
-0.857,0.0017999999999999984,0,0.007199999999999994,0,0,0,0.003599999999999997,0,0.009699999999999992,0,0.0002999999999999997,0
-0.856,0.0017999999999999984,0,0.007199999999999994,0,0,0,0.003599999999999997,0,0.009699999999999992,0,0.0002999999999999997,0
-0.855,0.0017999999999999984,0,0.007199999999999994,0,0,0,0.003599999999999997,0,0.009699999999999992,0,0.0002999999999999997,0
-0.854,0.0017999999999999984,0,0.007199999999999994,0,0,0,0.003599999999999997,0,0.009699999999999992,0,0.0002999999999999997,0
-0.853,0.0017999999999999984,0,0.007199999999999994,0,0,0,0.003599999999999997,0,0.009699999999999992,0,0.0002999999999999997,0
-0.852,0.0017999999999999984,0,0.007199999999999994,0,0,0,0.003599999999999997,0,0.009699999999999992,0,0.0002999999999999997,0
-0.851,0.0017999999999999984,0,0.007199999999999994,0,0,0,0.003599999999999997,0,0.009699999999999992,0,0.0002999999999999997,0
-0.85,0.002199999999999998,0,0.009199999999999991,0,0,0,0.0038999999999999964,0,0.014099999999999988,0,0.00039999999999999964,0
-0.849,0.002199999999999998,0,0.009199999999999991,0,0,0,0.0038999999999999964,0,0.014099999999999988,0,0.00039999999999999964,0
-0.848,0.002199999999999998,0,0.009199999999999991,0,0,0,0.0038999999999999964,0,0.014099999999999988,0,0.00039999999999999964,0
-0.847,0.002199999999999998,0,0.009199999999999991,0,0,0,0.0038999999999999964,0,0.014099999999999988,0,0.00039999999999999964,0
-0.846,0.002199999999999998,0,0.009199999999999991,0,0,0,0.0038999999999999964,0,0.014099999999999988,0,0.00039999999999999964,0
-0.845,0.002199999999999998,0,0.009199999999999991,0,0,0,0.0038999999999999964,0,0.014099999999999988,0,0.00039999999999999964,0
-0.844,0.002199999999999998,0,0.009199999999999991,0,0,0,0.0038999999999999964,0,0.014099999999999988,0,0.00039999999999999964,0
-0.843,0.002199999999999998,0,0.009199999999999991,0,0,0,0.0038999999999999964,0,0.014099999999999988,0,0.00039999999999999964,0
-0.842,0.002199999999999998,0,0.009199999999999991,0,0,0,0.0038999999999999964,0,0.014099999999999988,0,0.00039999999999999964,0
-0.841,0.002199999999999998,0,0.009199999999999991,0,0,0,0.0038999999999999964,0,0.014099999999999988,0,0.00039999999999999964,0
-0.84,0.004599999999999996,0,0.011599999999999989,0,0,0,0.004099999999999996,0,0.012299999999999988,0,0,0
-0.839,0.004599999999999996,0,0.011599999999999989,0,0,0,0.004099999999999996,0,0.012299999999999988,0,0,0
-0.838,0.004599999999999996,0,0.011599999999999989,0,0,0,0.004099999999999996,0,0.012299999999999988,0,0,0
-0.837,0.004599999999999996,0,0.011599999999999989,0,0,0,0.004099999999999996,0,0.012299999999999988,0,0,0
-0.836,0.004599999999999996,0,0.011599999999999989,0,0,0,0.004099999999999996,0,0.012299999999999988,0,0,0
-0.835,0.004599999999999996,0,0.011599999999999989,0,0,0,0.004099999999999996,0,0.012299999999999988,0,0,0
-0.834,0.004599999999999996,0,0.011599999999999989,0,0,0,0.004099999999999996,0,0.012299999999999988,0,0,0
-0.833,0.004599999999999996,0,0.011599999999999989,0,0,0,0.004099999999999996,0,0.012299999999999988,0,0,0
-0.832,0.004599999999999996,0,0.011599999999999989,0,0,0,0.004099999999999996,0,0.012299999999999988,0,0,0
-0.831,0.004599999999999996,0,0.011599999999999989,0,0,0,0.004099999999999996,0,0.012299999999999988,0,0,0
-0.83,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0,0.006199999999999995,0,0.016499999999999983,0,0.00019999999999999982,0
-0.829,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0,0.006199999999999995,0,0.016499999999999983,0,0.00019999999999999982,0
-0.828,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0,0.006199999999999995,0,0.016499999999999983,0,0.00019999999999999982,0
-0.827,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0,0.006199999999999995,0,0.016499999999999983,0,0.00019999999999999982,0
-0.826,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0,0.006199999999999995,0,0.016499999999999983,0,0.00019999999999999982,0
-0.825,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0,0.006199999999999995,0,0.016499999999999983,0,0.00019999999999999982,0
-0.824,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0,0.006199999999999995,0,0.016499999999999983,0,0.00019999999999999982,0
-0.823,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0,0.006199999999999995,0,0.016499999999999983,0,0.00019999999999999982,0
-0.822,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0,0.006199999999999995,0,0.016499999999999983,0,0.00019999999999999982,0
-0.821,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0,0.006199999999999995,0,0.016499999999999983,0,0.00019999999999999982,0
-0.82,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0,0.0065000000000000665,0,0.022200000000000226,0,0.00030000000000000306,0
-0.819,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0,0.0065000000000000665,0,0.022200000000000226,0,0.00030000000000000306,0
-0.818,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0,0.0065000000000000665,0,0.022200000000000226,0,0.00030000000000000306,0
-0.817,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0,0.0065000000000000665,0,0.022200000000000226,0,0.00030000000000000306,0
-0.816,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0,0.0065000000000000665,0,0.022200000000000226,0,0.00030000000000000306,0
-0.815,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0,0.0065000000000000665,0,0.022200000000000226,0,0.00030000000000000306,0
-0.814,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0,0.0065000000000000665,0,0.022200000000000226,0,0.00030000000000000306,0
-0.813,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0,0.0065000000000000665,0,0.022200000000000226,0,0.00030000000000000306,0
-0.812,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0,0.0065000000000000665,0,0.022200000000000226,0,0.00030000000000000306,0
-0.811,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0,0.0065000000000000665,0,0.022200000000000226,0,0.00030000000000000306,0
-0.81,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0,0.007899999999999992,0,0.02299999999999998,0,0.00019999999999999982,0
-0.809,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0,0.007899999999999992,0,0.02299999999999998,0,0.00019999999999999982,0
-0.808,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0,0.007899999999999992,0,0.02299999999999998,0,0.00019999999999999982,0
-0.807,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0,0.007899999999999992,0,0.02299999999999998,0,0.00019999999999999982,0
-0.806,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0,0.007899999999999992,0,0.02299999999999998,0,0.00019999999999999982,0
-0.805,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0,0.007899999999999992,0,0.02299999999999998,0,0.00019999999999999982,0
-0.804,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0,0.007899999999999992,0,0.02299999999999998,0,0.00019999999999999982,0
-0.803,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0,0.007899999999999992,0,0.02299999999999998,0,0.00019999999999999982,0
-0.802,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0,0.007899999999999992,0,0.02299999999999998,0,0.00019999999999999982,0
-0.801,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0,0.007899999999999992,0,0.02299999999999998,0,0.00019999999999999982,0
-0.8,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0,0.01149999999999999,0,0.029499999999999974,0,0.00019999999999999982,0
-0.799,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0,0.01149999999999999,0,0.029499999999999974,0,0.00019999999999999982,0
-0.798,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0,0.01149999999999999,0,0.029499999999999974,0,0.00019999999999999982,0
-0.797,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0,0.01149999999999999,0,0.029499999999999974,0,0.00019999999999999982,0
-0.796,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0,0.01149999999999999,0,0.029499999999999974,0,0.00019999999999999982,0
-0.795,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0,0.01149999999999999,0,0.029499999999999974,0,0.00019999999999999982,0
-0.794,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0,0.01149999999999999,0,0.029499999999999974,0,0.00019999999999999982,0
-0.793,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0,0.01149999999999999,0,0.029499999999999974,0,0.00019999999999999982,0
-0.792,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0,0.01149999999999999,0,0.029499999999999974,0,0.00019999999999999982,0
-0.791,0.008699999999999992,0,0.026599999999999974,0,9999999999999991e-20,0,0.01149999999999999,0,0.029499999999999974,0,0.00019999999999999982,0
-0.79,0.008799999999999992,0,0.027099999999999975,0,0.0002999999999999997,0,0.01049999999999999,0,0.033699999999999966,0,0.00019999999999999982,0
-0.789,0.008799999999999992,0,0.027099999999999975,0,0.0002999999999999997,0,0.01049999999999999,0,0.033699999999999966,0,0.00019999999999999982,0
-0.788,0.008799999999999992,0,0.027099999999999975,0,0.0002999999999999997,0,0.01049999999999999,0,0.033699999999999966,0,0.00019999999999999982,0
-0.787,0.008799999999999992,0,0.027099999999999975,0,0.0002999999999999997,0,0.01049999999999999,0,0.033699999999999966,0,0.00019999999999999982,0
-0.786,0.008799999999999992,0,0.027099999999999975,0,0.0002999999999999997,0,0.01049999999999999,0,0.033699999999999966,0,0.00019999999999999982,0
-0.785,0.008799999999999992,0,0.027099999999999975,0,0.0002999999999999997,0,0.01049999999999999,0,0.033699999999999966,0,0.00019999999999999982,0
-0.784,0.008799999999999992,0,0.027099999999999975,0,0.0002999999999999997,0,0.01049999999999999,0,0.033699999999999966,0,0.00019999999999999982,0
-0.783,0.008799999999999992,0,0.027099999999999975,0,0.0002999999999999997,0,0.01049999999999999,0,0.033699999999999966,0,0.00019999999999999982,0
-0.782,0.008799999999999992,0,0.027099999999999975,0,0.0002999999999999997,0,0.01049999999999999,0,0.033699999999999966,0,0.00019999999999999982,0
-0.781,0.008799999999999992,0,0.027099999999999975,0,0.0002999999999999997,0,0.01049999999999999,0,0.033699999999999966,0,0.00019999999999999982,0
-0.78,0.008999999999999992,0,0.030199999999999973,0,0.0005999999999999994,0,0.013799999999999988,0,0.03689999999999997,0,0.0006999999999999993,0
-0.779,0.008999999999999992,0,0.030199999999999973,0,0.0005999999999999994,0,0.013799999999999988,0,0.03689999999999997,0,0.0006999999999999993,0
-0.778,0.008999999999999992,0,0.030199999999999973,0,0.0005999999999999994,0,0.013799999999999988,0,0.03689999999999997,0,0.0006999999999999993,0
-0.777,0.008999999999999992,0,0.030199999999999973,0,0.0005999999999999994,0,0.013799999999999988,0,0.03689999999999997,0,0.0006999999999999993,0
-0.776,0.008999999999999992,0,0.030199999999999973,0,0.0005999999999999994,0,0.013799999999999988,0,0.03689999999999997,0,0.0006999999999999993,0
-0.775,0.008999999999999992,0,0.030199999999999973,0,0.0005999999999999994,0,0.013799999999999988,0,0.03689999999999997,0,0.0006999999999999993,0
-0.774,0.008999999999999992,0,0.030199999999999973,0,0.0005999999999999994,0,0.013799999999999988,0,0.03689999999999997,0,0.0006999999999999993,0
-0.773,0.008999999999999992,0,0.030199999999999973,0,0.0005999999999999994,0,0.013799999999999988,0,0.03689999999999997,0,0.0006999999999999993,0
-0.772,0.008999999999999992,0,0.030199999999999973,0,0.0005999999999999994,0,0.013799999999999988,0,0.03689999999999997,0,0.0006999999999999993,0
-0.771,0.008999999999999992,0,0.030199999999999973,0,0.0005999999999999994,0,0.013799999999999988,0,0.03689999999999997,0,0.0006999999999999993,0
-0.77,0.010299999999999991,0,0.037299999999999965,0,9999999999999991e-20,0,0.014799999999999987,0,0.04479999999999996,0,0.001099999999999999,0
-0.769,0.010299999999999991,0,0.037299999999999965,0,9999999999999991e-20,0,0.014799999999999987,0,0.04479999999999996,0,0.001099999999999999,0
-0.768,0.010299999999999991,0,0.037299999999999965,0,9999999999999991e-20,0,0.014799999999999987,0,0.04479999999999996,0,0.001099999999999999,0
